"publish_date","France","Germany","Italy","Spain","United Kingdom"
2020-06-19,36.1428571428571,15.5714285714286,49.5714285714286,19.5714285714286,84.4285714285714
2020-06-20,34.1428571428571,14.4285714285714,48.2857142857143,17.7142857142857,77.7142857142857
2020-06-21,32.8571428571429,13.5714285714286,44.1428571428571,17.5714285714286,72.5714285714286
2020-06-22,32.5714285714286,13.4285714285714,41.2857142857143,16.4285714285714,73.1428571428571
2020-06-23,31.1428571428571,13.5714285714286,40.8571428571429,16,71
2020-06-24,23.8571428571429,12,38.5714285714286,14,67.2857142857143
2020-06-25,19.8571428571429,10.1428571428571,28,13.5714285714286,64
2020-06-26,19.7142857142857,10.8571428571429,23.4285714285714,12,68.5714285714286
2020-06-27,21.2857142857143,10.2857142857143,21,12,67.5714285714286
2020-06-28,19.2857142857143,10.7142857142857,15.1428571428571,10.5714285714286,63.1428571428571
2020-06-29,18.4285714285714,10.8571428571429,14.8571428571429,9.14285714285714,63.1428571428571
2020-06-30,19.8571428571429,11.1428571428571,12.4285714285714,8.57142857142857,64.1428571428571
2020-07-01,16,10.1428571428571,13.1428571428571,9,58.2857142857143
2020-07-02,18.4285714285714,9.57142857142857,20.5714285714286,9.14285714285714,59.7142857142857
2020-07-03,16.5714285714286,7.85714285714286,20,8.85714285714286,51.4285714285714
2020-07-04,15.4285714285714,8,17.8571428571429,7.42857142857143,47.4285714285714
2020-07-05,15.4285714285714,7.85714285714286,19.7142857142857,7,46.2857142857143
2020-07-06,15.4285714285714,7.85714285714286,17.5714285714286,7.42857142857143,44.5714285714286
2020-07-07,14.4285714285714,7.28571428571429,17.8571428571429,5.85714285714286,43.1428571428571
2020-07-08,11.7142857142857,7.28571428571429,18.8571428571429,5.14285714285714,43.2857142857143
2020-07-09,13.7142857142857,7.71428571428571,18,4.28571428571429,37.5714285714286
2020-07-10,13.5714285714286,7.28571428571429,15.4285714285714,3.42857142857143,36.1428571428571
2020-07-11,14.5714285714286,7.14285714285714,15,3.57142857142857,34
2020-07-12,14.5714285714286,7.28571428571429,13,3.42857142857143,31.8571428571429
2020-07-13,14.5714285714286,6.85714285714286,13.2857142857143,3.14285714285714,30.4285714285714
2020-07-14,13.8571428571429,6.28571428571429,14,3.57142857142857,30.2857142857143
2020-07-15,12.2857142857143,5,12.1428571428571,3.14285714285714,28.8571428571429
2020-07-16,20.2857142857143,4.28571428571429,11.8571428571429,2.85714285714286,24.4285714285714
2020-07-17,20.8571428571429,4,13,3,23.4285714285714
2020-07-18,19.4285714285714,3.28571428571429,12.8571428571429,2.85714285714286,22.2857142857143
2020-07-19,19.4285714285714,3,13.8571428571429,2.57142857142857,21.1428571428571
2020-07-20,19.4285714285714,3.14285714285714,13,2.42857142857143,21.4285714285714
2020-07-21,18,3.14285714285714,13,2.71428571428571,21.4285714285714
2020-07-22,17.8571428571429,3.42857142857143,12.7142857142857,3.42857142857143,18.7142857142857
2020-07-23,6.42857142857143,3.28571428571429,12.1428571428571,4.14285714285714,17.4285714285714
2020-07-24,5.28571428571429,4.14285714285714,10.7142857142857,3.85714285714286,15.2857142857143
2020-07-25,4.57142857142857,5,9.85714285714286,4.14285714285714,16.1428571428571
2020-07-26,4.57142857142857,4.85714285714286,8.57142857142857,4.85714285714286,17
2020-07-27,4.57142857142857,4.57142857142857,8.85714285714286,5.71428571428571,16.5714285714286
2020-07-28,5.57142857142857,4.57142857142857,7.71428571428571,6,15.5714285714286
2020-07-29,7.42857142857143,4.71428571428571,7.14285714285714,6.28571428571429,15
2020-07-30,8.57142857142857,4.71428571428571,6.71428571428571,7,17.4285714285714
2020-07-31,9.57142857142857,4.28571428571429,5.71428571428571,7.57142857142857,16.1428571428571
2020-08-01,9.85714285714286,3.28571428571429,6.28571428571429,8.85714285714286,14.4285714285714
2020-08-02,9.85714285714286,3.28571428571429,6.28571428571429,9.85714285714286,14.1428571428571
2020-08-03,9.85714285714286,4.28571428571429,6.71428571428571,9.71428571428571,13.7142857142857
2020-08-04,11.7142857142857,4.85714285714286,7.71428571428571,10.7142857142857,13.4285714285714
2020-08-05,10.1428571428571,5.71428571428571,6.85714285714286,11.2857142857143,13
2020-08-06,8.85714285714286,5.85714285714286,7.42857142857143,11.7142857142857,10.1428571428571
2020-08-07,7.57142857142857,6,7.85714285714286,12.2857142857143,12.7142857142857
2020-08-08,7.71428571428571,7.71428571428571,7,14.2857142857143,11.5714285714286
2020-08-09,7.71428571428571,7.85714285714286,8.14285714285714,15.1428571428571,10.1428571428571
2020-08-10,7.71428571428571,7,7.28571428571429,18.2857142857143,10.1428571428571
2020-08-11,5.57142857142857,6.42857142857143,6.14285714285714,18.5714285714286,12.5714285714286
2020-08-12,7.28571428571429,5.57142857142857,6.28571428571429,20.2857142857143,11.8571428571429
2020-08-13,8.71428571428571,5.14285714285714,6.28571428571429,22.1428571428571,12.7142857142857
2020-08-14,10,6,6.28571428571429,24.1428571428571,12.7142857142857
2020-08-15,10.5714285714286,5.14285714285714,6.28571428571429,23.7142857142857,12.5714285714286
2020-08-16,10.8571428571429,5,27,25.7142857142857,12.5714285714286
2020-08-17,11,5,27.2857142857143,25.5714285714286,12.5714285714286
2020-08-18,11.7142857142857,5,27.2857142857143,26.2857142857143,10.4285714285714
2020-08-19,13,5.14285714285714,27.1428571428571,27.1428571428571,10.2857142857143
2020-08-20,13,6,26.7142857142857,28.7142857142857,9.71428571428571
2020-08-21,12.4285714285714,5,26.7142857142857,31.5714285714286,8
2020-08-22,13.2857142857143,5.14285714285714,27.5714285714286,33.5714285714286,6.71428571428571
2020-08-23,14.1428571428571,5.42857142857143,5.42857142857143,34.5714285714286,8.85714285714286
2020-08-24,14.1428571428571,5.71428571428571,5.85714285714286,36.2857142857143,9
2020-08-25,14.1428571428571,5.85714285714286,5.85714285714286,40.7142857142857,9.14285714285714
2020-08-26,13.2857142857143,5.28571428571429,5.71428571428571,44.4285714285714,9.71428571428571
2020-08-27,11,4.57142857142857,6.57142857142857,44.1428571428571,9.71428571428571
2020-08-28,13.4285714285714,4,6.42857142857143,44.7142857142857,10.5714285714286
2020-08-29,13.1428571428571,3.14285714285714,6.42857142857143,46,11.5714285714286
2020-08-30,12.7142857142857,3.71428571428571,6.14285714285714,49.5714285714286,10.7142857142857
2020-08-31,12.8571428571429,3.71428571428571,5.71428571428571,50.4285714285714,10
2020-09-01,14.1428571428571,3.57142857142857,6,50.5714285714286,9.71428571428571
2020-09-02,15.1428571428571,4.71428571428571,6.57142857142857,51.4285714285714,7.85714285714286
2020-09-03,18.2857142857143,5.14285714285714,5.57142857142857,55.8571428571429,7
2020-09-04,13.7142857142857,4.85714285714286,6.28571428571429,60.1428571428571,7.14285714285714
2020-09-05,10.7142857142857,5,6.57142857142857,64.1428571428571,7.28571428571429
2020-09-06,11.5714285714286,4.28571428571429,8.71428571428571,65,7.28571428571429
2020-09-07,11.4285714285714,3.85714285714286,9.14285714285714,67.4285714285714,7.42857142857143
2020-09-08,11.1428571428571,3.85714285714286,10,68.8571428571429,7.57142857142857
2020-09-09,12.8571428571429,3.57142857142857,10.2857142857143,71.4285714285714,11.7142857142857
2020-09-10,13.8571428571429,2.85714285714286,11.4285714285714,73.4285714285714,11.4285714285714
2020-09-11,16.8571428571429,2.85714285714286,11.4285714285714,75,11.5714285714286
2020-09-12,28.4285714285714,3.28571428571429,11.2857142857143,77.1428571428571,11
2020-09-13,29,3.42857142857143,9.85714285714286,80.5714285714286,10.5714285714286
2020-09-14,29.7142857142857,3.57142857142857,9.85714285714286,85.4285714285714,11
2020-09-15,31,4.71428571428571,10.1428571428571,91,11.8571428571429
2020-09-16,32.8571428571429,4.28571428571429,10,93.4285714285714,11.1428571428571
2020-09-17,34.8571428571429,4.28571428571429,9.71428571428571,99.5714285714286,12.8571428571429
2020-09-18,39.4285714285714,5.14285714285714,10.1428571428571,102.142857142857,13.8571428571429
2020-09-19,50,5.28571428571429,10.1428571428571,106.285714285714,16.8571428571429
2020-09-20,51.4285714285714,5.28571428571429,12.7142857142857,108.285714285714,19.4285714285714
2020-09-21,52.1428571428571,5.14285714285714,13.8571428571429,111,21.2857142857143
2020-09-22,54.7142857142857,4.85714285714286,14.2857142857143,110.285714285714,21.5714285714286
2020-09-23,56.7142857142857,5.85714285714286,15,114.142857142857,23
2020-09-24,56.1428571428571,8.14285714285714,16.1428571428571,113.571428571429,25.4285714285714
2020-09-25,56.4285714285714,9.28571428571429,17.5714285714286,114.142857142857,28.1428571428571
2020-09-26,55.8571428571429,9.71428571428571,19,115.857142857143,29.1428571428571
2020-09-27,57.8571428571429,10.1428571428571,18,118.285714285714,30.2857142857143
2020-09-28,60.1428571428571,10.5714285714286,18.2857142857143,117.857142857143,30.1428571428571
2020-09-29,62.2857142857143,10.7142857142857,18.1428571428571,121.142857142857,30.4285714285714
2020-09-30,65.1428571428571,11.2857142857143,19.5714285714286,124,35.2857142857143
2020-10-01,67.5714285714286,10.2857142857143,19.4285714285714,127.285714285714,40.1428571428571
2020-10-02,69,9.28571428571429,19.5714285714286,133.142857142857,42.8571428571429
2020-10-03,64.4285714285714,10.7142857142857,20,132.714285714286,47.4285714285714
2020-10-04,65,10.2857142857143,21.4285714285714,134.714285714286,49.4285714285714
2020-10-05,65.7142857142857,10.5714285714286,21.5714285714286,132.857142857143,51.7142857142857
2020-10-06,65.8571428571429,10.7142857142857,21.5714285714286,128.142857142857,52.5714285714286
2020-10-07,63.4285714285714,10.5714285714286,22.1428571428571,126.428571428571,53.2857142857143
2020-10-08,66.4285714285714,11.1428571428571,23.8571428571429,124.428571428571,53.1428571428571
2020-10-09,68.4285714285714,11.5714285714286,23.5714285714286,121.714285714286,55.7142857142857
2020-10-10,64.4285714285714,11,24.2857142857143,122,58.7142857142857
2020-10-11,66,12.2857142857143,24.5714285714286,123.714285714286,63.2857142857143
2020-10-12,68,12.4285714285714,25.7142857142857,128.142857142857,67.8571428571429
2020-10-13,71.7142857142857,12.5714285714286,29,131.857142857143,72.2857142857143
2020-10-14,77.8571428571429,16.4285714285714,30.8571428571429,130.714285714286,81.8571428571429
2020-10-15,81.2857142857143,18.8571428571429,32.5714285714286,132.571428571429,91.4285714285714
2020-10-16,83,20.7142857142857,41.2857142857143,132.571428571429,100.142857142857
2020-10-17,93.2857142857143,23.2857142857143,45.1428571428571,134.571428571429,107.142857142857
2020-10-18,98.2857142857143,23.1428571428571,47.7142857142857,132.857142857143,117
2020-10-19,103.857142857143,24,53.8571428571429,131.714285714286,117.285714285714
2020-10-20,111.285714285714,28.8571428571429,58.7142857142857,135.571428571429,121.571428571429
