"publish_date","Central Asia","Eastern Asia","Eastern Europe","Latin America and the Caribbean","Northern Africa","Northern America","Oceania","Others","South-eastern Asia","Southern Asia","Sub-Saharan Africa","West Europe","Western Asia"
2020-09-28,8.57142857142857,10.1428571428571,294.142857142857,2016.28571428571,74.4285714285714,755.142857142857,5.14285714285714,3.85714285714286,189.857142857143,1327.85714285714,96.8571428571429,307.714285714286,228.714285714286
2020-09-29,8.28571428571429,10,298.714285714286,2074.85714285714,80.1428571428571,758.285714285714,5.71428571428571,5.57142857142857,208.857142857143,1287.85714285714,118.857142857143,312.142857142857,239.857142857143
2020-09-30,8.57142857142857,11.2857142857143,305.714285714286,1941.85714285714,84.4285714285714,733.142857142857,5.71428571428571,3.42857142857143,193,1276.28571428571,112.285714285714,326.714285714286,222.571428571429
2020-10-01,9.28571428571429,10.5714285714286,308.428571428571,2065.85714285714,88.8571428571429,728.428571428571,5.71428571428571,3.71428571428571,214.142857142857,1310.57142857143,106.285714285714,335.571428571429,231.285714285714
2020-10-02,9.14285714285714,9.57142857142857,323.714285714286,2035,85.2857142857143,713.571428571429,5.57142857142857,4.14285714285714,193.571428571429,1309.42857142857,113.428571428571,345.428571428571,240.571428571429
2020-10-03,9,10.1428571428571,329.857142857143,2353.42857142857,79.7142857142857,843.285714285714,4.57142857142857,6.57142857142857,193.714285714286,1306.85714285714,118.857142857143,347,236.571428571429
2020-10-04,8.71428571428571,10.2857142857143,327.857142857143,2345.14285714286,78.4285714285714,720.285714285714,4.71428571428571,6.71428571428571,201.142857142857,1275.28571428571,106.714285714286,353.857142857143,234.142857142857
2020-10-05,8.42857142857143,9.57142857142857,329.428571428571,2282.28571428571,83,705,4.71428571428571,6.42857142857143,184.285714285714,1259.57142857143,108.857142857143,355.428571428571,235.714285714286
2020-10-06,8.57142857142857,8.57142857142857,356.142857142857,2291.42857142857,83.8571428571429,718,4.28571428571429,4.71428571428571,204.285714285714,1248.85714285714,87.7142857142857,357.142857142857,236.285714285714
2020-10-07,8.85714285714286,7.57142857142857,374.571428571429,2362.57142857143,76.7142857142857,680.142857142857,3.28571428571429,5.28571428571429,197.714285714286,1147.85714285714,86.4285714285714,360.714285714286,244.857142857143
2020-10-08,8.71428571428571,7.71428571428571,399.285714285714,2282.42857142857,80.4285714285714,721,3.14285714285714,5.42857142857143,194,1240.71428571429,80.8571428571429,369.857142857143,236.571428571429
2020-10-09,9.42857142857143,7.28571428571429,413.857142857143,2193.42857142857,78.4285714285714,702.285714285714,3,5,207.857142857143,1223,105.285714285714,373.428571428571,243.571428571429
2020-10-10,10.5714285714286,6.28571428571429,427.714285714286,2215.71428571429,86.4285714285714,713,2.42857142857143,5.42857142857143,210,1203.28571428571,120.428571428571,376.142857142857,243.714285714286
